Study_ID,response_var,Effect_size_pair,Climate,Biome,Time_Since_Fire,Effect_size,Percent_Difference
Burd et al 2018,DOC_Interp,lnR1,Dfc,Cold,3,-0.8074667025846229,-55.401354732190214
"Coombs & Melack, 2013",NO3_Interp,lnR1,BSk,Arid,0,1.75295228052377,477.1616980550105
"Coombs & Melack, 2013",NO3_Interp,lnR2,BSk,Arid,0,-2.0473966314124756,-87.09295153770486
"Coombs & Melack, 2013",NO3_Interp,lnR3,BSk,Arid,0,-0.2030079720285851,-18.37282659419256
"Coombs & Melack, 2013",NO3_Interp,lnR1,BSk,Arid,1,1.702459542946486,448.74273709224053
"Coombs & Melack, 2013",NO3_Interp,lnR2,BSk,Arid,1,-1.8565999926447945,-84.37971807314173
"Coombs & Melack, 2013",NO3_Interp,lnR3,BSk,Arid,1,0.17335251790747283,18.928527555386943
"Gerla & Galloway, 1998",NO3_Interp,lnR1,Dfc,Cold,1,-0.9404498708553406,-60.95478571974482
"Gerla & Galloway, 1998",NO3_Interp,lnR1,Dfc,Cold,2,0.8469826044301482,133.25978520387253
"Gerla & Galloway, 1998",NO3_Interp,lnR1,Dfc,Cold,3,0.9767219657876395,165.5736363049975
"Gerla & Galloway, 1998",NO3_Interp,lnR1,Dfc,Cold,4,1.3512432699490873,286.2224334426232
"Gerla & Galloway, 1998",NO3_Interp,lnR1,Dfc,Cold,5,0.8936477010811649,144.40284966484504
"Gluns & Toews, 1989",NO3_Interp,lnR1,Dfc,Cold,0,2.1175380180518832,731.0651605869023
"Gluns & Toews, 1989",NO3_Interp,lnR2,Dfc,Cold,0,1.5124370882941682,353.7776290902178
"Gluns & Toews, 1989",NO3_Interp,lnR1,Dfc,Cold,1,2.043287391906721,671.593284688897
"Gluns & Toews, 1989",NO3_Interp,lnR2,Dfc,Cold,1,1.7902711083086134,499.10764768422115
"Gluns & Toews, 1989",NO3_Interp,lnR1,Dfc,Cold,2,2.4793176404333854,1093.3118961217292
"Gluns & Toews, 1989",NO3_Interp,lnR2,Dfc,Cold,2,2.175364252047078,780.5391920143027
"Gluns & Toews, 1989",NO3_Interp,lnR1,Dfc,Cold,3,1.8413502470540644,530.5045885669399
"Gluns & Toews, 1989",NO3_Interp,lnR2,Dfc,Cold,3,1.8853069011924857,558.8376112258092
"Mast & Clow, 2008",DOC_Interp,lnR1,Dfc,Cold,0,-0.05198944083147036,-5.066110898069198
"Mast & Clow, 2008",DOC_Interp,lnR1,Dfc,Cold,1,-0.23267430480315818,-20.758838384228596
"Mast & Clow, 2008",DOC_Interp,lnR1,Dfc,Cold,2,-0.054856610268935284,-5.337912606507089
"Mast & Clow, 2008",DOC_Interp,lnR1,Dfc,Cold,3,-0.33386212088645906,-28.384748210541368
"Mast & Clow, 2008",DOC_Interp,lnR1,Dfc,Cold,4,-0.06876044186758228,-6.644970714232235
"Mast & Clow, 2008",NO3_Interp,lnR1,Dfc,Cold,1,0.9217624797354467,151.37168630376397
"Mast & Clow, 2008",NO3_Interp,lnR1,Dfc,Cold,2,0.6938414248359014,100.13889706385824
"Mast & Clow, 2008",NO3_Interp,lnR1,Dfc,Cold,3,0.6238798035979927,86.61543267699349
"Mast & Clow, 2008",NO3_Interp,lnR1,Dfc,Cold,4,0.4513944740791651,57.050068172687276
Murphy et al. 2015,DOC_Interp,lnR1,Cfb,Temperate,1,-0.02209144774333893,-2.1849218720493613
Murphy et al. 2015,DOC_Interp,lnR2,Cfb,Temperate,1,-0.09143869394625465,-8.738273659995988
Murphy et al. 2015,DOC_Interp,lnR3,Cfb,Temperate,1,-0.4759788799445507,-37.87233964947843
Murphy et al. 2015,DOC_Interp,lnR1,Cfb,Temperate,2,-0.30682413734353803,-26.422001424719543
Murphy et al. 2015,DOC_Interp,lnR2,Cfb,Temperate,2,-0.35352180878763056,-29.778932194247787
Murphy et al. 2015,DOC_Interp,lnR3,Cfb,Temperate,2,-0.41287873547224674,-33.82574761427954
Murphy et al. 2015,DOC_Interp,lnR1,Cfb,Temperate,3,-0.3312863465111103,-28.200045706228227
Murphy et al. 2015,DOC_Interp,lnR2,Cfb,Temperate,3,-0.4227882497149223,-34.47826391135794
Murphy et al. 2015,DOC_Interp,lnR3,Cfb,Temperate,3,-0.5499098148014181,-42.29981549399486
Murphy et al. 2015,NO3_Interp,lnR1,Cfb,Temperate,1,1.2334337255408905,243.2997291588365
Murphy et al. 2015,NO3_Interp,lnR2,Cfb,Temperate,1,0.8906940242456102,143.68202769087986
Murphy et al. 2015,NO3_Interp,lnR3,Cfb,Temperate,1,-0.05699676485766621,-5.540287473227146
Murphy et al. 2015,NO3_Interp,lnR1,Cfb,Temperate,2,0.2945684815767112,34.25468999502505
Murphy et al. 2015,NO3_Interp,lnR2,Cfb,Temperate,2,1.6229567188536114,406.8052993285494
Murphy et al. 2015,NO3_Interp,lnR3,Cfb,Temperate,2,2.1167271828264864,730.3915767997335
Murphy et al. 2015,NO3_Interp,lnR1,Cfb,Temperate,3,1.1134630802037473,204.48848373603403
Murphy et al. 2015,NO3_Interp,lnR2,Cfb,Temperate,3,2.138023384509159,748.2654101559932
Murphy et al. 2015,NO3_Interp,lnR3,Cfb,Temperate,3,1.1987594531267192,231.60007157708492
Murphy et al. 2018,DOC_Interp,lnR1,Cfb,Temperate,0,-0.19586948633799225,-17.788047449354327
Murphy et al. 2018,DOC_Interp,lnR2,Cfb,Temperate,0,-0.020582621477338737,-2.037224516154168
Murphy et al. 2018,DOC_Interp,lnR1,Cfb,Temperate,1,-0.09253034556904192,-8.837845312986815
Murphy et al. 2018,DOC_Interp,lnR2,Cfb,Temperate,1,-0.2794571534661146,-24.380587258163743
Murphy et al. 2018,DOC_Interp,lnR3,Cfb,Temperate,1,-0.5290874956151702,-41.085768057616725
Murphy et al. 2018,DOC_Interp,lnR1,Cfb,Temperate,2,-0.4059504771372809,-33.36568341710829
Murphy et al. 2018,DOC_Interp,lnR2,Cfb,Temperate,2,-0.42051599123248457,-34.32921231299855
Murphy et al. 2018,DOC_Interp,lnR3,Cfb,Temperate,2,-0.504700788827816,-39.63138219445017
Murphy et al. 2018,DOC_Interp,lnR1,Cfb,Temperate,3,-0.4838929792642086,-38.36208362657854
Murphy et al. 2018,DOC_Interp,lnR2,Cfb,Temperate,3,-0.5412446599785048,-41.79766198499808
Murphy et al. 2018,DOC_Interp,lnR3,Cfb,Temperate,3,-0.6939952120636859,-50.042383601332396
Murphy et al. 2018,DOC_Interp,lnR1,Cfb,Temperate,4,-0.3881077782646473,-32.16607709008385
Murphy et al. 2018,DOC_Interp,lnR2,Cfb,Temperate,4,-0.5762560227751916,-43.80014576500607
Murphy et al. 2018,DOC_Interp,lnR3,Cfb,Temperate,4,-0.7185013536732262,-51.25177276780466
Murphy et al. 2018,DOC_Interp,lnR1,Cfb,Temperate,5,-0.3676420649753068,-30.76350409893057
Murphy et al. 2018,DOC_Interp,lnR2,Cfb,Temperate,5,-0.5510697334216398,-42.36670421215937
Murphy et al. 2018,DOC_Interp,lnR3,Cfb,Temperate,5,-0.7218292413374722,-51.41373175173975
Murphy et al. 2018,NO3_Interp,lnR1,Cfb,Temperate,0,-0.9251679798500448,-60.35351846191255
Murphy et al. 2018,NO3_Interp,lnR2,Cfb,Temperate,0,-0.5401482686656407,-41.73381445266594
Murphy et al. 2018,NO3_Interp,lnR1,Cfb,Temperate,1,0.34874637041195555,41.72896781552393
Murphy et al. 2018,NO3_Interp,lnR2,Cfb,Temperate,1,0.4924902954548207,63.6386235285729
Murphy et al. 2018,NO3_Interp,lnR3,Cfb,Temperate,1,-0.5324776921953114,-41.285160704159765
Murphy et al. 2018,NO3_Interp,lnR1,Cfb,Temperate,2,0.48967192003296156,63.17807775425071
Murphy et al. 2018,NO3_Interp,lnR2,Cfb,Temperate,2,1.0609399607508578,188.90853402021057
Murphy et al. 2018,NO3_Interp,lnR3,Cfb,Temperate,2,0.6606550881027107,93.60602090809817
Murphy et al. 2018,NO3_Interp,lnR1,Cfb,Temperate,3,0.5260874760635659,69.22981818474396
Murphy et al. 2018,NO3_Interp,lnR2,Cfb,Temperate,3,0.9631628551436823,161.99699680832958
Murphy et al. 2018,NO3_Interp,lnR3,Cfb,Temperate,3,0.5319120776509874,70.2183906779823
Murphy et al. 2018,NO3_Interp,lnR1,Cfb,Temperate,4,0.10679525211943049,11.270640687596067
Murphy et al. 2018,NO3_Interp,lnR2,Cfb,Temperate,4,0.3707771777527453,44.88601991306687
Murphy et al. 2018,NO3_Interp,lnR3,Cfb,Temperate,4,-0.045053576764258266,-4.405373604655938
Murphy et al. 2018,NO3_Interp,lnR1,Cfb,Temperate,5,0.27085562181965056,31.108576454213367
Murphy et al. 2018,NO3_Interp,lnR2,Cfb,Temperate,5,0.5277273450124165,69.5075605771259
Murphy et al. 2018,NO3_Interp,lnR3,Cfb,Temperate,5,0.13000465508024311,13.883368467446843
"Neary & Currier, 1982",NO3_Interp,lnR1,Cfa,Temperate,0,1.5739271177981005,382.5561580688095
"Neary & Currier, 1982",NO3_Interp,lnR1,Cfa,Temperate,1,0.7765290563903371,117.3913623676905
Oliver et al. 2012,NO3_Interp,lnR1,Csb,Temperate,1,0.7146311795090584,104.34328833396185
Oliver et al. 2012,NO3_Interp,lnR2,Csb,Temperate,1,0.1083671999910158,11.445689882453669
Oliver et al. 2012,NO3_Interp,lnR3,Csb,Temperate,1,-1.2564969709571707,-71.53505827838787
Oliver et al. 2012,NO3_Interp,lnR1,Csb,Temperate,2,-0.5396214946346434,-41.703113253647096
Oliver et al. 2012,NO3_Interp,lnR2,Csb,Temperate,2,-1.76671099295381,-82.91058624689771
Oliver et al. 2012,NO3_Interp,lnR3,Csb,Temperate,2,-2.169919002561115,-88.58131346200696
Rhea et al. 2021,DOC_Interp,lnR1,Dfc,Cold,>10,0.4142753540035392,51.32737555086124
Rhea et al. 2021,NO3_Interp,lnR1,Dfc,Cold,>10,3.3673554612544394,2800.1729358332395
"Tiedemann, 1973",NO3_Interp,lnR1,Dsb,Cold,0,0.700384479651557,101.45271032699408
"Tiedemann, 1973",NO3_Interp,lnR1,Dsb,Cold,1,2.032749426158762,663.5049532132819
"Tiedemann, 1973",NO3_Interp,lnR1,Dsb,Cold,2,3.4497656138466612,3049.300991816489
Uzun et al. 2020,DOC_Interp,lnR1,Csa,Temperate,1,-3.5873302571008643,-97.23278906885656
Uzun et al. 2020,DOC_Interp,lnR2,Csa,Temperate,1,-2.781397262801667,-93.80481161892341
Uzun et al. 2020,DOC_Interp,lnR1,Csa,Temperate,2,-3.488635457510704,-96.9457479683875
Uzun et al. 2020,DOC_Interp,lnR2,Csa,Temperate,2,-2.8617192837255008,-94.28296163891132
Uzun et al. 2020,NO3_Interp,lnR1,Csa,Temperate,1,-2.343905190475006,-90.40478059770899
Uzun et al. 2020,NO3_Interp,lnR2,Csa,Temperate,1,-1.4038784576475674,-75.4357599625297
Uzun et al. 2020,NO3_Interp,lnR1,Csa,Temperate,2,-2.523624055603431,-91.98314556075128
Uzun et al. 2020,NO3_Interp,lnR2,Csa,Temperate,2,-1.9038360329879964,-85.10040318781951
Wagner et al. 2015,DOC_Interp,lnR1,Dfb,Cold,1,-0.42175739487288677,-34.410685686766776
Wagner et al. 2015,DOC_Interp,lnR2,Dfb,Cold,1,-0.6091057775083416,-45.61630370518657
Writer et al. 2014,DOC_Interp,lnR1,Dfb,Cold,0,-0.36514805851470156,-30.590612323858167
Writer et al. 2014,DOC_Interp,lnR2,Dfb,Cold,0,-0.4623748929438658,-37.02138067201853
Writer et al. 2014,DOC_Interp,lnR1,Dfb,Cold,1,-0.619805853304341,-46.19511121313087
Writer et al. 2014,DOC_Interp,lnR2,Dfb,Cold,1,-0.39946342771866483,-32.932018229491376
Writer et al. 2014,NO3_Interp,lnR1,Dfb,Cold,0,-0.22445633786858216,-20.104954018164634
Writer et al. 2014,NO3_Interp,lnR2,Dfb,Cold,0,-0.1726924417168119,-15.860364652806581
Writer et al. 2014,NO3_Interp,lnR1,Dfb,Cold,1,-0.73752899074672,-52.17056737765815
Writer et al. 2014,NO3_Interp,lnR2,Dfb,Cold,1,0.6342845717183738,88.56725952600047
Hauer & Spencer 1998,NO3_Interp,lnR1,Dfc,Cold,1,1.911426272610421,576.2727416134569
Hauer & Spencer 1998,NO3_Interp,lnR2,Dfc,Cold,1,1.872308461156119,550.329168084721
Hauer & Spencer 1998,NO3_Interp,lnR3,Dfc,Cold,1,2.332128722301076,929.9843719960119
Hauer & Spencer 1998,NO3_Interp,lnR5,Dfc,Cold,1,2.4314632577693227,1037.5515218772807
Hauer & Spencer 1998,NO3_Interp,lnR1,Dfc,Cold,2,0.9052735213660049,147.2608141729649
Hauer & Spencer 1998,NO3_Interp,lnR2,Dfc,Cold,2,1.7931305712867058,500.8232254692918
Hauer & Spencer 1998,NO3_Interp,lnR3,Dfc,Cold,2,2.2632756340805606,861.4531328630623
Hauer & Spencer 1998,NO3_Interp,lnR5,Dfc,Cold,2,2.1956752619491127,798.6066957641544
Hauer & Spencer 1998,NO3_Interp,lnR1,Dfc,Cold,3,0.5730656823751883,77.36963145138071
Hauer & Spencer 1998,NO3_Interp,lnR2,Dfc,Cold,3,2.123237518978183,735.8153412100588
Hauer & Spencer 1998,NO3_Interp,lnR3,Dfc,Cold,3,1.1968588798283117,230.97043985544303
Hauer & Spencer 1998,NO3_Interp,lnR4,Dfc,Cold,3,1.2844252245417789,261.2590931754834
Hauer & Spencer 1998,NO3_Interp,lnR5,Dfc,Cold,3,1.4865638267876355,342.1875055291434
Hauer & Spencer 1998,NO3_Interp,lnR1,Dfc,Cold,4,0.6206869330306183,86.02054396129573
Hauer & Spencer 1998,NO3_Interp,lnR2,Dfc,Cold,4,2.355939128240543,954.8030164680885
Hauer & Spencer 1998,NO3_Interp,lnR3,Dfc,Cold,4,1.1440404080000321,213.94273415965128
Hauer & Spencer 1998,NO3_Interp,lnR4,Dfc,Cold,4,0.5376175802346618,71.19234796160178
Hauer & Spencer 1998,NO3_Interp,lnR1,Dfc,Cold,5,0.16719947859094442,18.19900234976217
Hauer & Spencer 1998,NO3_Interp,lnR2,Dfc,Cold,5,2.4331464456086973,1039.4678470807742
Hauer & Spencer 1998,NO3_Interp,lnR3,Dfc,Cold,5,1.464134057717891,332.3797459680318
Hauer & Spencer 1998,NO3_Interp,lnR4,Dfc,Cold,5,0.8274961058239492,128.75836957951446
Hickenbottom et al. 2023,DOC_Interp,lnR1,Csb,Temperate,0,0.6030917563718091,82.77610655619434
Hickenbottom et al. 2023,DOC_Interp,lnR1,Csb,Temperate,1,-0.004829024442120025,-0.4817383449339796
Hickenbottom et al. 2023,DOC_Interp,lnR2,Csb,Temperate,1,0.2765406443670772,31.85605436874168
Hickenbottom et al. 2023,NO3_Interp,lnR1,Csb,Temperate,0,0.5604775611436323,75.15087531225029
Hickenbottom et al. 2023,NO3_Interp,lnR1,Csb,Temperate,1,0.4248453259394459,52.935384999825175
Hickenbottom et al. 2023,NO3_Interp,lnR2,Csb,Temperate,1,-0.9198195703521421,-60.140904777798276
Crandall et al. 2021,DOC_Interp,lnR1,Csa,Temperate,0,0.8093287157961165,124.63995079188592
Crandall et al. 2021,DOC_Interp,lnR2,Csa,Temperate,0,-0.5012324665111016,-39.421640855054605
Crandall et al. 2021,DOC_Interp,lnR3,Csa,Temperate,0,0.6279152172921498,87.37002467097581
Crandall et al. 2021,DOC_Interp,lnR4,Csa,Temperate,0,0.8028695220357438,123.19363387251214
Crandall et al. 2021,NO3_Interp,lnR1,Csa,Temperate,0,1.28743921860061,262.3495684535134
Crandall et al. 2021,NO3_Interp,lnR2,Csa,Temperate,0,-4.246086967895374,-98.56798403374928
Crandall et al. 2021,NO3_Interp,lnR3,Csa,Temperate,0,0.3617241962673968,43.58028875505513
Crandall et al. 2021,NO3_Interp,lnR4,Csa,Temperate,0,-1.0139978491713204,-63.723420622981266
Abbott et al. 2021,DOC_Interp,lnR1,Dwc,Cold,>10,0.07122341316138577,7.3821104839094875
Abbott et al. 2021,DOC_Interp,lnR1,Dwc,Cold,>10,0.04747864478092809,4.862380729104476
Abbott et al. 2021,NO3_Interp,lnR1,Dwc,Cold,>10,0.2553866095914989,29.09606221661083
Abbott et al. 2021,NO3_Interp,lnR1,Dwc,Cold,>10,0.3732247996318643,45.24108045510049
Rhea et al. 2021,DOC_Interp,lnR1,Dfc,Cold,>10,0.6751369247546402,96.4301919115254
Rhea et al. 2021,DOC_Interp,lnR2,Dfc,Cold,>10,-0.7742485959609271,-53.89499142280667
Rhea et al. 2021,DOC_Interp,lnR3,Dfc,Cold,>10,-0.7867838119603353,-54.46932047420026
Rhea et al. 2021,NO3_Interp,lnR1,Dfc,Cold,>10,2.159311553728295,766.5170100478266
Rhea et al. 2021,NO3_Interp,lnR2,Dfc,Cold,>10,3.216774838319497,2394.7530474466757
Rhea et al. 2021,NO3_Interp,lnR3,Dfc,Cold,>10,2.6558282600148906,1323.677292711765
