Site,comid,MAST_2008,MAST_2009,MAST_2013,MAST_2014,MSST_2008,MSST_2009,MSST_2013,MSST_2014,MWST_2008,MWST_2009,MWST_2013,MWST_2014
Site_3,8943613,7.5925214815299995,7.736368057319999,7.75701276355,7.9884927039399996,16.4274309237,15.8219947536,15.9998862389,16.4414094784,0.545253335292,1.0162583888199999,0.622428853749,2.2515762754099997
Reference,15032969,13.955755886,13.929308133700001,13.9730255199,14.9657092384,20.0735120675,20.0568335068,20.0338558527,20.058971139700002,7.459403238729999,7.95296458217,7.460523363239999,8.59248460862
Payson,10350360,7.3097989410299995,7.34929781609,7.197514280159999,7.870265445939999,15.955789903400001,15.9151224027,15.952212732900001,15.8615789455,2.06355705321,2.94186848835,1.8128408571499999,3.16921427144
Dry_Creek,10329181,9.36005071996,9.18262251653,8.982622392309999,9.841808207909999,18.359871477800002,17.991938416700002,18.3163830526,18.0122879961,2.5370628639499997,2.86414213557,1.9723887767000001,3.1096707280599998
San_Onofre,17594757,14.104503046200001,14.064604472900001,14.0920319011,15.0854442897,15.4598209054,15.4254430958,15.4088409052,16.249242509200002,8.625190726469999,8.69683756659,8.530197593839999,9.569717505669999
Gaviota,17594763,14.281752859500001,14.248435821100001,14.248435821100001,14.688217643000002,15.971131942100001,15.884489935100001,15.8968275678,16.6439392801,8.54270689981,8.6570540654,8.30583900555,9.48832919605
Arroyo_Hondo,17594741,13.5547409788,13.3818578955,13.448845848600001,13.855803983600001,14.9769731608,14.774071775200001,14.7860079921,15.3165591126,8.39020946705,8.523239425489999,8.13238494999,8.99817973916
Rattlesnake,14937281,12.8970360252,12.8944541615,12.9118716157,13.103410570100001,20.6067062965,20.492265632600002,20.5967069575,20.5608235849,6.02447495834,6.0742555734099994,5.944387262759999,6.41996477977
Crow_Creek,12794143,NA,NA,5.95575211376,5.95575211376,10.4786559864,9.63692928729,10.9061847734,9.9549238961,1.60488053467,1.70884555514,1.73051967955,1.675148295
Jones_Creek,12794005,NA,NA,NA,NA,10.823182603500001,9.941279265559999,11.060140632000001,9.98426971865,1.37773460829,1.4708986556399999,1.52138919755,1.39938310102
Red_Bench_Creek,22950879,7.278236862759999,7.278236862759999,7.396059752549999,7.36876689085,10.855568098400001,10.9222504035,11.4606479498,11.6491207041,2.84788377877,2.84772428967,3.1768982006199997,2.8379106631599997
Wally_Creek,22950913,7.180602465600001,7.180602465600001,7.3421392469,7.25632493724,10.6668547862,10.6668547862,11.0756436745,11.0622401334,2.635422895,2.63515000722,2.69508434237,2.69513792748
Red_Meadow_Creek,22949989,6.939478150089999,6.939478150089999,7.11820988721,7.1141246553699995,12.3909576066,12.396593406700001,12.7202695209,12.8665342191,1.48158527971,1.47976770737,1.9241476568,1.55574489081
Coal_Creek,22950067,7.206043631269999,7.2076105868299996,7.22316589059,7.22096898235,13.1799705667,13.235691068700001,13.9040099816,13.7917890533,1.3729823638799998,1.39567065249,1.7404414906099999,1.31706384445
Logging_Creek,22949389,7.289072635539999,7.2909103022099995,7.306632124419999,7.304243061719999,12.9198293074,12.922514810500001,13.4065093932,13.362275074100001,1.58624350816,1.59581320435,1.82519350824,1.5378415079499999
Akokala_Creek,22949619,7.13634875134,7.15942123439,7.31495835165,7.30049923262,13.0885840343,13.1102099151,13.5662077895,13.780986586600001,1.5055015887199998,1.50783975469,1.78451110954,1.56240907802
Bowman_Creek,22949571,7.4065396549499996,7.43063607253,7.57289788756,7.55918690375,14.0358812901,14.071835593500001,14.4557394575,14.5473045093,1.39393491937,1.3977682942799998,1.6882584463199999,1.50998893996
Quartz_Creek,22949475,7.42186245708,7.452379909879999,7.56677439696,7.55264983627,14.418174623,14.4799536674,14.843161889900001,15.306922677700001,1.6620146023,1.6673477133899999,1.9628242403299998,1.72452577159
Trout_Creek,8944501,6.73846432393,6.74566675789,6.75727349456,7.13440578096,12.8454343986,12.4069644222,12.461739337700001,12.5746597894,0.659982828627,1.05494790791,0.776709891563,1.8418981874899998
Cold_Creek,8944471,6.170120144839999,6.1753672343499995,6.18367406394,6.510629510759999,11.8444820977,11.580264307,11.6156240241,11.6662626865,0.987573164788,1.3040925613199998,1.10954826624,1.9750157310899998
Middle_Fork,14997923,13.1450650372,13.0856445732,13.1672681396,13.950080383700001,20.8795958685,20.7201657554,20.6849859045,20.861628156600002,5.439147215249999,5.76149624362,5.616096745639999,6.1619310865
North_Fork,14997117,13.2823284988,13.2513704506,13.3104997928,14.0443118634,21.5627340526,21.495917643400002,21.4810061567,21.5594063457,6.24512996209,6.566408097059999,6.47153595982,7.076935669059999
Coal,22957705,7.428963886959999,7.4301384602,7.427802079789999,7.44127507167,13.583559793700001,13.6160829025,14.840176917900001,14.235969821700001,1.4928191494299998,1.53013135699,1.85253053628,1.3983251001499999
Pinchot,22957733,7.394925467269999,7.394001846059999,7.38048883835,7.395247410600001,12.3925208511,12.438818957,13.5738806382,13.1308416069,1.4669603817499999,1.5010200859499998,1.7834986229699998,1.39507928203
Fish_Creek,22958009,6.4548159928699995,6.464704181019999,6.36932620942,6.4282699131,12.3902934976,12.455125948200001,13.5191090217,13.1997603944,1.76429753335,1.76921610252,2.04454103374,1.6848659897199998
Lower_MacDonald_Creek,22957903,7.8024186666399995,7.801999361859999,7.80133068448,7.78755579872,15.0014825309,14.977246902400001,15.880726345200001,15.755885991100001,1.4179192031899999,1.4162251527899998,1.70388713512,1.3397919140599999
Upper_MacDonald_Creek,22957933,7.67722972078,7.65323267136,7.765105666539999,7.7352726581599995,14.3013480548,14.301613766900001,14.7755976746,14.420163631700001,1.7118609164199998,1.73899708086,1.87828371709,1.6569806406799998
DS1,2889268,6.8939004196399996,6.9260815318099995,6.87002371996,7.017174518829999,14.055799243500001,13.3744614381,13.789159105000001,13.6581066284,1.3306086094599998,2.36993088228,1.4335620306199999,1.49144165678
DS2,2889346,7.736862229700001,7.7122726192,7.58552813598,7.80435086429,16.3271666153,14.858237478400001,16.2871955677,15.8495982606,1.7588941085099998,2.91296100151,1.73537895582,1.81034189298
DS3,2889356,7.736862229700001,7.7122726192,7.58552813598,7.80435086429,16.3273630121,14.858237478400001,16.2873919646,15.8497946574,1.7588941085099998,2.91296100151,1.73537895582,1.81034189298
US1,2889272,6.24053378952,6.257271880009999,6.2410799254,6.277763300619999,12.2784887198,11.6436389356,12.273169064300001,11.8372259674,0.858761013331,1.66334192023,0.885356204193,1.0195189383599998
US2,2889272,6.24053378952,6.257271880009999,6.2410799254,6.277763300619999,12.2784887198,11.6436389356,12.273169064300001,11.8372259674,0.858761013331,1.66334192023,0.885356204193,1.0195189383599998
Crane_Creek,11750409,11.865742048000001,11.8510925741,11.871926966,11.8463457418,16.2343585349,15.844443270300001,15.9188687213,15.822499436500001,5.81809742853,4.57133798977,6.4019485627099995,4.214805678159999
Wash_Branch,11750421,11.6497965591,11.633927720900001,11.6549594564,11.6291808886,16.1635224887,15.8447527407,15.8900857458,15.835189212700001,5.77203474178,4.38238302303,6.49843816578,4.03480381015
Control,8943655,7.53276925312,7.547857512059999,7.600332291869999,7.868686793489999,11.8498321683,11.2163335612,11.3666010076,11.7845883281,2.55555986048,2.68627343529,2.65472197328,3.3498059625799996
Site_1,8943617,6.853439369709999,6.94741832231,6.99484368022,7.35663085818,12.060186854800001,11.6002511575,11.7223102313,12.092118776400001,1.0836495531,1.61831000044,1.18140306087,2.71206106175
Site_2,8943617,6.853439369709999,6.94741832231,6.99484368022,7.35663085818,12.060186854800001,11.6002511575,11.7223102313,12.092118776400001,1.0836495531,1.61831000044,1.18140306087,2.71206106175
Camas_Creek,23075361,6.47515025156,6.6378408883899995,6.744232376,6.9332611987,12.9286230839,13.8177489214,14.0843077406,14.1222840797,4.08344887296,4.1233231867399995,4.14039257352,4.12531096699
Grade_Creek,23074473,6.77901241636,6.8770089492699995,6.99034227311,7.123092736029999,13.614628358200001,14.454177235500001,14.7478666906,14.8012601898,2.00482880999,2.0941410930799997,2.17902280136,2.0952699033599997
Rocky_Fire,8009327,14.910838787800001,14.871218821100001,15.393147693100001,15.9757753197,23.289508353800002,23.2534430183,23.263652405000002,23.2866923809,7.152855594689999,7.40580741226,7.2737336500000005,7.847753441819999
Wragg_Fire,15032969,13.955755886,13.929308133700001,13.9730255199,14.9657092384,20.0735120675,20.0568335068,20.0338558527,20.058971139700002,7.459403238729999,7.95296458217,7.460523363239999,8.59248460862
PBR,2899241,7.889618685069999,7.87887884105,7.90350006071,7.956537655609999,15.426727148200001,14.623592272000002,15.6049884282,14.7160681721,1.1440458894,1.5885188020099998,1.1819591618599998,1.26557106176
PSF,2899449,7.990421265189999,8.01522368979,8.048816036469999,8.07402559617,16.165544147200002,15.060847004800001,16.2178397158,15.1782304432,1.15979069141,1.7262113265,1.26946318436,1.27052044094
PNF,2900989,8.648534909479999,8.661799217739999,8.754185889739999,8.75480747308,18.067613005600002,16.5739624437,18.0637129437,16.691463667,1.3833115243699998,2.16302236869,1.4947355917199998,1.43432559646
Benjamin_Slough,10349048,8.574513460559999,8.45324001835,8.115177288429999,9.25386770005,17.1544131929,17.7201439701,17.3059429366,17.6163234685,2.3039453649,3.08256963778,1.70363605149,3.4533068284199997
Hobble_Creek_Lower,10348934,8.563822552229999,8.40226434329,7.95003066293,9.18324278407,17.469596382000002,17.5313260886,16.9548153289,17.5099257345,3.3136899986199997,4.41492024227,2.4159975920599996,4.391308523419999
Hobble_Creek_Upper,10348934,8.563822552229999,8.40226434329,7.95003066293,9.18324278407,17.469596382000002,17.5313260886,16.9548153289,17.5099257345,3.3136899986199997,4.41492024227,2.4159975920599996,4.391308523419999
Mill_Race,10376606,7.86529066536,7.6338656790199995,7.370904771219999,8.5190775946,15.2186193627,15.1221386734,15.125862834800001,15.1337669729,2.36697764298,2.89843057565,1.8504864130899998,3.09314537064
Mitsubishi_Race,10329067,7.8138521688199996,7.580220048569999,7.30080464965,8.49478416979,15.168830121300001,15.1042910757,15.1064581748,15.1287994249,2.29475408795,3.0921109951799997,1.51909569042,3.29977431907
Provo_River,10376192,8.91244894115,8.79611575243,8.51151173668,9.46279134427,19.8404075047,19.716955258400002,19.752622294000002,19.7353266549,2.63619555546,2.7587562755499997,2.17601144204,3.30827576556
Spanish_Fork_Lower,10349108,9.159834917049999,8.97766631437,8.699594070009999,9.590240375839999,19.2311115701,19.2106155804,18.993148462300002,19.062440918500002,2.3433475749899997,2.9520466697,1.73899171689,3.27896010023
Spanish_Fork_Upper,10349244,8.22748576159,8.25100355479,8.212368772429999,8.62574886881,18.705099986900002,18.118022934000003,18.672662158,18.3778444971,1.61942476709,2.4201686446,1.5614974549599998,2.8465288319
